,pl_name,hostname,gaia_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_massj,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
2543,HD 189733 b,HD 189733,Gaia DR2 1827242816201846144,0,2,1,Radial Velocity,2005,Haute-Provence Observatory,Published Confirmed,0,<a refstr=ADDISON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019PASP..131k5003A/abstract target=ref>Addison et al. 2019</a>,2.218577,0.03106,12.543,1.119,1.166,0,<a refstr=ADDISON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019PASP..131k5003A/abstract target=ref>Addison et al. 2019</a>,,5050.0,0.77,0.81,-0.03,[Fe/H],4.58,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h00m43.71s,300.1821223,+22d42m35.19s,22.7097759,250.2466863,-3.29445,-250.225,19.7638,7.67,5.541,7.41432,20/09/2019,2019-11,26/09/2019
2545,HD 189733 b,HD 189733,Gaia DR2 1827242816201846144,0,2,1,Radial Velocity,2005,Haute-Provence Observatory,Published Confirmed,0,<a refstr=SING_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.529...59S/abstract target=ref>Sing et al. 2016</a>,2.22,,12.778,1.14,1.14,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5023.0,0.78,0.84,0.02,[M/H],4.58,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h00m43.71s,300.1821223,+22d42m35.19s,22.7097759,250.2466863,-3.29445,-250.225,19.7638,7.67,5.541,7.41432,25/04/2018,2016-01,14/01/2016
3544,HD 88133 b,HD 88133,Gaia DR2 623408253837371392,0,1,1,Radial Velocity,2004,W. M. Keck Observatory,Published Confirmed,0,<a refstr=PISKORZ_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...832..131P/abstract target=ref>Piskorz et al. 2016</a>,3.4148674,0.04691,,,1.02,0,<a refstr=PISKORZ_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...832..131P/abstract target=ref>Piskorz et al. 2016</a>,,5438.0,1.94,1.18,0.33,[Fe/H],3.94,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h10m07.66s,152.5319349,+18d11m08.62s,18.1857284,265.3912437,-11.0764,-265.16,73.6123,8.01852,6.199,7.80979,3/12/2018,2016-12,13/10/2016
3734,HIP 65 A b,HIP 65 A,Gaia DR2 4923860051276772608,1,2,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,0.9809734,0.01782,22.754,2.03,3.213,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...639A..76N/abstract target=ref>Nielsen et al. 2020</a>,K4 V,4590.0,0.72,0.78,0.18,[Fe/H],4.61,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h00m44.55s,0.1856063,-54d49m50.96s,-54.8308228,215.0550558,-202.815,-71.5175,61.7856,11.0,8.29,10.5895,17/07/2020,2020-07,23/07/2020
5253,K2-417 b,K2-417,Gaia DR2 2437684039751295744,1,1,1,Transit,2023,K2,Published Confirmed,0,<a refstr=INCHA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.523..474I/abstract target=ref>Incha et al. 2023</a>,6.535,0.063,3.31,0.295,2.2,0,<a refstr=INCHA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.523..474I/abstract target=ref>Incha et al. 2023</a>,M V,3861.0,0.58,0.57,,,4.67,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h20m34.02s,350.1417675,-10d02m11.72s,-10.0365901,196.5622902,133.632,-144.15,94.0424,13.909,10.06,13.1533,10/07/2023,2023-07,10/07/2023
33890,TOI-251 b,TOI-251,Gaia DR2 6539037542941988736,1,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ZHOU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161....2Z/abstract target=ref>Zhou et al. 2021</a>,4.93777,0.05741,2.74,0.244,1.0,0,<a refstr=ZHOU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161....2Z/abstract target=ref>Zhou et al. 2021</a>,,5875.0,0.88,1.04,-0.106,[Fe/H],4.56,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h32m14.90s,353.0620655,-37d15m21.11s,-37.2558629,44.6798041,44.6393,1.90205,99.523,9.887,8.426,9.75411,10/12/2020,2021-01,17/12/2020
34103,TOI-5205 b,TOI-5205,Gaia DR2 1842656663520849024,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KANODIA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..120K/abstract target=ref>Kanodia et al. 2023</a>,1.630757,0.0199,11.6,1.03,1.08,0,<a refstr=KANODIA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..120K/abstract target=ref>Kanodia et al. 2023</a>,M4.0,3430.0,0.39,0.39,0.0,[Fe/H],4.84,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h55m04.96s,313.7706819,+24d21m39.52s,24.360977,66.8252463,41.7717,52.1607,86.4493,15.899,11.006,14.9317,15/03/2023,2023-03,15/03/2023
34927,WASP-189 b,WASP-189,Gaia DR2 6339097679918871168,1,1,1,Transit,2020,CHaracterising ExOPlanets Satellite (CHEOPS),Published Confirmed,0,<a refstr=LENDL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...643A..94L/abstract target=ref>Lendl et al. 2020</a>,2.724033,0.05053,18.147,1.619,1.99,0,<a refstr=LENDL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...643A..94L/abstract target=ref>Lendl et al. 2020</a>,,8000.0,2.36,2.03,0.29,[Fe/H],3.9,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h02m44.82s,225.686732,-03d01m53.35s,-3.0314874,55.8801238,-50.5642,-23.7876,99.731,6.59776,6.06,6.55369,16/03/2022,2020-11,16/03/2022
35180,WASP-43 b,WASP-43,Gaia DR2 3767805209112436736,0,1,1,Transit,2011,SuperWASP,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,0.81347437,0.01528,11.613,1.036,2.05,1,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,,4400.0,0.67,0.72,-0.05,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h19m37.96s,154.9081869,-09d48m23.20s,-9.8064431,56.8007302,-42.0435,-38.1925,86.7467,12.305,9.267,11.907,18/03/2019,2017-06,21/03/2019
35181,WASP-43 b,WASP-43,Gaia DR2 3767805209112436736,1,1,1,Transit,2011,SuperWASP,Published Confirmed,0,<a refstr=HELLIER_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1104.2823H/abstract target=ref> Hellier et al. 2011 </a>,0.813475,0.0142,10.424,0.93,1.78,1,<a refstr=HELLIER_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1104.2823H/abstract target=ref> Hellier et al. 2011 </a>,,4400.0,0.6,0.58,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h19m37.96s,154.9081869,-09d48m23.20s,-9.8064431,56.8007302,-42.0435,-38.1925,86.7467,12.305,9.267,11.907,14/05/2014,2011-11,14/05/2014
35186,WASP-43 b,WASP-43,Gaia DR2 3767805209112436736,0,1,1,Transit,2011,SuperWASP,Published Confirmed,0,<a refstr=SALZ_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..42S/abstract target=ref>Salz et al. 2015</a>,0.8,0.014,10.42,0.93,1.8,1,<a refstr=SALZ_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..42S/abstract target=ref>Salz et al. 2015</a>,K7 V,4400.0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h19m37.96s,154.9081869,-09d48m23.20s,-9.8064431,56.8007302,-42.0435,-38.1925,86.7467,12.305,9.267,11.907,12/02/2015,2015-04,12/02/2015
35188,WASP-43 b,WASP-43,Gaia DR2 3767805209112436736,0,1,1,Transit,2011,SuperWASP,Published Confirmed,0,<a refstr=ESPOSITO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...601A..53E/abstract target=ref>Esposito et al. 2017</a>,0.81347398,0.01504,11.276,1.006,1.998,1,<a refstr=ESPOSITO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...601A..53E/abstract target=ref>Esposito et al. 2017</a>,,4500.0,0.65,0.69,-0.01,[Fe/H],4.5,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h19m37.96s,154.9081869,-09d48m23.20s,-9.8064431,56.8007302,-42.0435,-38.1925,86.7467,12.305,9.267,11.907,2/12/2019,2017-05,5/12/2019
35874,tau Boo b,tau Boo,Gaia DR2 1244571953471006720,0,2,1,Radial Velocity,1996,Lick Observatory,Published Confirmed,0,<a refstr=BROGI_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012Natur.486..502B/abstract target=ref> Brogi et al. 2012 </a>,3.312433,,,,5.95,0,<a refstr=BROGI_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012Natur.486..502B/abstract target=ref> Brogi et al. 2012 </a>,,6400.0,1.46,1.34,0.5,[Fe/H],4.5,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h47m15.23s,206.8134593,+17d27m25.79s,17.4571647,472.3602962,-467.909,64.6948,15.6521,4.48635,3.507,4.36617,26/03/2015,2012-06,26/03/2015
