,Unnamed: 0,pl_name,hostname,gaia_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_massj,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
102,2464,HD 18143 c,HD 18143,Gaia DR2 116037204451525376,1,1,2,Radial Velocity,2022,Multiple Observatories,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,28982.41764,17.53,,,9.998,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,0.85,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h55m39.37s,43.9140248,+26d52m20.58s,26.8723829,327.6550874,264.469,-193.427,22.5243,7.518,5.427,7.33209,2023-06-12,2022-09,12/06/2023
89,1941,HD 115404 A c,HD 115404 A,Gaia DR2 3936909723803146368,1,1,2,Radial Velocity,2022,Multiple Observatories,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,15319.22517,11.364,,,10.319,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,0.83,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h16m51.74s,199.2155793,+17d00m57.74s,17.0160384,688.8917765,636.031,-264.644,10.9816,6.50066,4.381,6.28558,2023-06-12,2022-09,12/06/2023
87,798,GJ 9714 b,GJ 9714,Gaia DR2 6781117812601143168,1,1,1,Radial Velocity,2022,Multiple Observatories,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,19240.75467,12.319,,,9.403,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,0.67,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h01m39.40s,315.4141767,-32d31m30.01s,-32.5250028,274.8058078,246.31,-121.859,20.5121,9.37,6.221,8.8377,2023-06-12,2022-09,12/06/2023
98,2200,HD 149806 b,HD 149806,Gaia DR2 4383374219923745024,1,1,1,Radial Velocity,2022,Multiple Observatories,Published Confirmed,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,16521.52778,12.404,,,12.597,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,,,,0.93,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h37m08.52s,249.2855187,+00d15m16.85s,0.2546794,121.9984087,93.2422,78.6734,20.2727,7.08308,5.183,6.86807,2023-06-12,2022-09,12/06/2023
49,551,GJ 179 b,GJ 179,Gaia DR2 3288082758293022848,0,1,1,Radial Velocity,2009,W. M. Keck Observatory,Published Confirmed,0,<a refstr=XIAO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023RAA....23e5022X/abstract target=ref>Xiao et al. 2023</a>,2303.0,2.424,,,0.95,0,<a refstr=XIAO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023RAA....23e5022X/abstract target=ref>Xiao et al. 2023</a>,M2 V,3370.0,,0.36,0.3,[Fe/H],4.83,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h52m05.89s,73.0245495,+06d28m30.84s,6.4752347,342.4034373,153.425,-306.106,12.356,11.963,6.942,10.7055,2023-06-12,2023-05,12/06/2023
113,2675,HD 207496 b,HD 207496,Gaia DR2 6356417496318028800,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BARROS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...673A...4B/abstract target=ref>Barros et al. 2023</a>,6.441008,0.0629,2.25,0.201,0.01919,0,<a refstr=BARROS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...673A...4B/abstract target=ref>Barros et al. 2023</a>,K2.5 V,4819.0,0.77,0.8,0.095,[Fe/H],4.51,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h54m52.36s,328.7181708,-77d20m19.69s,-77.3388025,292.2203092,224.864,-186.625,23.606,8.23,5.967,7.97255,2023-05-26,2023-05,26/05/2023
128,5250,K2-415 b,K2-415,Gaia DR2 604215144503584640,1,1,1,Transit,2023,K2,Published Confirmed,0,<a refstr=HIRANO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230200699H/abstract target=ref>Hirano et al. 2023</a>,4.0179694,0.027,1.015,0.091,0.0236,0,<a refstr=HIRANO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230200699H/abstract target=ref>Hirano et al. 2023</a>,M5 V,3173.0,0.2,0.16,-0.13,[Fe/H],5.07,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h08m48.37s,137.2015437,+11d51m44.10s,11.8622503,497.3173169,-458.496,192.629,21.8182,15.33,9.899,13.7957,2023-03-28,2023-03,28/03/2023
187,35840,nu Oct A b,nu Oct A,Gaia DR2 6356375508717699584,0,2,1,Radial Velocity,2016,University of Canterbury Mt John Observatory,Published Confirmed,1,<a refstr=RAMM_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.460.3706R/abstract target=ref>Ramm et al. 2016</a>,414.8,1.276,,,2.11,0,<a refstr=RAMM_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.460.3706R/abstract target=ref>Ramm et al. 2016</a>,K0 III,4860.0,5.81,1.61,0.18,[Fe/H],3.12,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h41m28.87s,325.3702792,-77d23m27.91s,-77.3910853,248.6463352,65.0,-240.0,21.1999,3.73,1.458,3.44162,2023-01-18,2016-08,18/01/2023
165,33619,TOI-1468 b,TOI-1468,Gaia DR2 2785466581298775680,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CHATURVEDI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...666A.155C/abstract target=ref>Chaturvedi et al. 2022</a>,1.8805136,,1.28,0.114,0.0101,0,<a refstr=CHATURVEDI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...666A.155C/abstract target=ref>Chaturvedi et al. 2022</a>,M3.0 V,3496.0,0.34,0.34,-0.04,[Fe/H],5.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h06m36.93s,16.6538724,+19d13m29.71s,19.2249195,226.5243185,-41.4646,-222.697,24.7399,12.5,8.497,12.1172,2022-11-07,2022-10,7/11/2022
112,2557,HD 190360 b,HD 190360,Gaia DR2 2029433521248546304,1,2,2,Radial Velocity,2003,Haute-Provence Observatory,Published Confirmed,0,<a refstr=FENG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.2856F/abstract target=ref>Feng et al. 2021</a>,2854.0,3.9,,,1.8,0,<a refstr=FENG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.2856F/abstract target=ref>Feng et al. 2021</a>,G V,,,1.0,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h03m38.22s,300.9092476,+29d53m40.35s,29.894541,862.1421738,683.341,-525.675,16.0069,5.738,4.076,5.55436,2022-09-19,2021-10,19/09/2022
