Unnamed: 0,pl_name,hostname,gaia_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_massj,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate,epoch,ra_corrected,dec_corrected
34109,TOI-530 b,TOI-530,Gaia DR2 3353218995355814656,0,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>,6.3875892,,,,,0,<a refstr=GAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511...83G/abstract target=ref>Gan et al. 2022</a>,M0.5 V,3659.0,0.54,0.53,0.376,[Fe/H],4.7,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h53m39.08s,103.4128333,+12d52m53.68s,12.8815784,64.0548949,13.6816,-62.5767,148.762,15.403,11.238,14.6439,2024-03-04,2023-03,4/03/2024,60305.72902777778,103.41286638682357,12.88143087647093
34250,TOI-904 b,TOI-904,Gaia DR2 4620844400530949376,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=HARRIS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...959L...1H/abstract target=ref>Harris et al. 2023</a>,10.8772,0.056,2.426,0.216,,0,<a refstr=HARRIS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJ...959L...1H/abstract target=ref>Harris et al. 2023</a>,,3770.2,0.53,0.56,0.022,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h57m29.11s,89.3712733,-83d07m47.02s,-83.1297264,114.5734091,-28.9408,110.858,46.0891,12.588,8.766,11.8559,2024-03-04,2023-12,4/03/2024,60321.52376157408,89.3707000557472,-83.12946372213324
1698,HATS-72 b,HATS-72,Gaia DR2 2594869603582993792,0,1,1,Transit,2020,HATSouth,Published Confirmed,0,<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>,7.3279496,,,,,0,<a refstr=HARTMAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..173H/abstract target=ref>Hartman et al. 2020</a>,,4656.1,0.72,0.73,0.099,[Fe/H],4.59,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h36m06.20s,339.0258401,-17d00m01.10s,-17.0003046,137.5641937,-108.621,-84.412,127.589,12.324,9.764,12.0725,2024-03-04,2023-03,4/03/2024,59598.33643518519,339.02563343310766,-17.000458187638017
34769,WASP-158 b,WASP-158,Gaia DR2 2424621502311961344,0,1,1,Transit,2018,SuperWASP-South,Published Confirmed,0,<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>,3.6563308,,,,,0,<a refstr=HELLIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.482.1379H/abstract target=ref>Hellier et al. 2019</a>,F6 V,6350.0,1.39,1.38,0.24,,4.3,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h16m35.12s,4.1463468,-10d58m35.12s,-10.9764226,2.3661638,1.82689,-1.50373,524.993,12.044,10.881,12.0911,2024-03-04,2023-03,4/03/2024,60217.83251157407,4.146351062725414,-10.976426044499226
1666,HATS-65 b,HATS-65,Gaia DR2 6766134630213144704,0,2,1,Transit,2018,HATSouth,Published Confirmed,0,<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>,3.10515933,,,,,0,<a refstr=HARTMAN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...55H/abstract target=ref>Hartman et al. 2019</a>,,6277.0,1.31,1.26,0.199,[Fe/H],4.3,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h31m45.55s,292.9397825,-26d44m24.73s,-26.7402021,3.4984277,-3.49486,-0.157955,493.32,12.679,11.095,12.3793,2024-03-04,2023-03,4/03/2024,60300.27690972222,292.93977329051705,-26.74020247172104
1630,HATS-57 b,HATS-57,Gaia DR2 5094406193214399616,0,1,1,Transit,2019,HATSouth,Published Confirmed,0,<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>,2.35061721,,,,,0,<a refstr=ESPINOZA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...63E/abstract target=ref>Espinoza et al. 2019</a>,,5587.0,0.96,1.03,0.268,[Fe/H],4.48,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h03m47.59s,60.9482779,-19d03m24.55s,-19.0568182,18.9634557,-12.6641,-14.115,279.485,12.333,10.707,12.1816,2024-03-04,2023-03,4/03/2024,60310.60089120371,60.948246263856625,-19.056851528172267
1615,HATS-53 b,HATS-53,Gaia DR2 3465357945752055040,0,1,1,Transit,2017,HATSouth,Published Confirmed,0,<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>,3.85377818,,,,,0,<a refstr=HENNING_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...79H/abstract target=ref>Henning et al. 2018</a>,,5644.0,1.1,0.96,,,4.34,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h46m30.80s,176.628323,-33d51m36.28s,-33.8600764,35.3234729,-35.0231,-4.59676,585.77,13.944,12.046,13.6564,2024-03-04,2023-03,4/03/2024,60187.22797453704,176.62822737141963,-33.860086822480206
1598,HATS-5 b,HATS-5,Gaia DR2 4899428146994060800,0,1,1,Transit,2014,HATSouth,Published Confirmed,0,<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>,4.76338959,,,,,0,<a refstr=ZHOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..144Z/abstract target=ref> Zhou et al. 2014 </a>,G,5304.0,0.87,0.94,0.19,[Fe/H],4.53,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h28m53.48s,67.2228465,-21d28m55.40s,-21.4820568,22.0481151,-0.0257827,-22.0481,246.384,12.598,10.703,12.4288,2024-03-04,2023-03,4/03/2024,59237.566354166665,67.22284645718833,-21.482090867192788
1583,HATS-46 b,HATS-46,Gaia DR2 4919771654727611008,0,1,1,Transit,2018,HATSouth,Published Confirmed,0,<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>,4.7423693,,,,,0,<a refstr=BRAHM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..112B/abstract target=ref>Brahm et al. 2018</a>,,5495.0,0.85,0.92,-0.06,[Fe/H],4.54,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h26m48.63s,6.7026401,-56d18m57.97s,-56.3161021,22.6729912,21.4603,7.31574,453.808,13.783,11.965,13.527,2024-03-04,2023-03,4/03/2024,,,
34236,TOI-837 b,TOI-837,Gaia DR2 5251470948229949568,0,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KOKORI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....4K/abstract target=ref>Kokori et al. 2023</a>,8.324917,,,,,0,<a refstr=BOUMA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..239B/abstract target=ref>Bouma et al. 2020</a>,G0/F9 V,6047.0,1.02,1.12,-0.069,[Fe/H[,4.47,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h28m08.95s,157.0372806,-64d30m18.76s,-64.5052107,21.27059,-18.0165,11.3068,142.488,10.635,8.933,10.356,2024-03-04,2023-03,4/03/2024,59979.74324074074,157.03719229978918,-64.50518684752663
