,pl_name,hostname,gaia_id,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_massj,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
750,GJ 832 b,GJ 832,Gaia DR2 6562924609150908416,0,1,1,Radial Velocity,2008,Anglo-Australian Telescope,Published Confirmed,0,<a refstr=XIAO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023RAA....23e5022X/abstract target=ref>Xiao et al. 2023</a>,3610.0,3.53,,,0.8,0,<a refstr=XIAO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023RAA....23e5022X/abstract target=ref>Xiao et al. 2023</a>,M1 V,3472.0,,0.45,-0.3,[Fe/H],4.7,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h33m33.90s,323.3912616,-49d00m45.06s,-49.0125169,817.8892865,-45.8344,-816.604,4.96435,8.66,4.501,7.73761,12/06/2023,2023-05,12/06/2023
751,GJ 832 b,GJ 832,Gaia DR2 6562924609150908416,1,1,1,Radial Velocity,2008,Anglo-Australian Telescope,Published Confirmed,0,<a refstr=PHILIPOT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805417P/abstract target=ref>Philipot et al. 2023</a>,3853.0,3.7,,,0.99,0,<a refstr=PHILIPOT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805417P/abstract target=ref>Philipot et al. 2023</a>,M2/3 V,,,0.45,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h33m33.90s,323.3912616,-49d00m45.06s,-49.0125169,817.8892865,-45.8344,-816.604,4.96435,8.66,4.501,7.73761,5/09/2023,2023-08,5/09/2023
765,GJ 876 b,GJ 876,Gaia DR2 2603090003484152064,0,1,4,Radial Velocity,1998,Multiple Observatories,Published Confirmed,0,<a refstr=CORREIA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...511A..21C/abstract target=ref> Correia et al. 2010 </a>,61.065,0.211,,,2.64,0,<a refstr=CORREIA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...511A..21C/abstract target=ref> Correia et al. 2010 </a>,M4 V,,,0.33,0.05,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h53m17.75s,343.3239737,-14d15m59.74s,-14.2665958,1171.100949,957.961,-673.638,4.67517,10.16,5.01,8.8753,27/08/2014,2010-02,27/08/2014
766,GJ 876 b,GJ 876,Gaia DR2 2603090003484152064,1,1,4,Radial Velocity,1998,Multiple Observatories,Published Confirmed,0,<a refstr=RIVERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...719..890R/abstract target=ref> Rivera et al. 2010 </a>,61.1166,0.208317,,,2.2756,0,<a refstr=RIVERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...719..890R/abstract target=ref> Rivera et al. 2010 </a>,,,0.3,0.32,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h53m17.75s,343.3239737,-14d15m59.74s,-14.2665958,1171.100949,957.961,-673.638,4.67517,10.16,5.01,8.8753,27/08/2014,2010-08,27/08/2014
767,GJ 876 b,GJ 876,Gaia DR2 2603090003484152064,0,1,4,Radial Velocity,1998,Multiple Observatories,Published Confirmed,0,<a refstr=RIVERA_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005ApJ...634..625R/abstract target=ref> Rivera et al. 2005 </a>,60.83,0.20774,,,2.53,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3271.0,0.35,0.34,,,4.87,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h53m17.75s,343.3239737,-14d15m59.74s,-14.2665958,1171.100949,957.961,-673.638,4.67517,10.16,5.01,8.8753,27/08/2014,2005-11,27/08/2014
768,GJ 876 b,GJ 876,Gaia DR2 2603090003484152064,0,1,4,Radial Velocity,1998,Multiple Observatories,Published Confirmed,0,<a refstr=NELSON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.455.2484N/abstract target=ref>Nelson et al. 2016</a>,61.087,0.218585,,,2.6596,0,<a refstr=NELSON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.455.2484N/abstract target=ref>Nelson et al. 2016</a>,,,,0.37,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h53m17.75s,343.3239737,-14d15m59.74s,-14.2665958,1171.100949,957.961,-673.638,4.67517,10.16,5.01,8.8753,27/01/2016,2016-01,28/01/2016
776,GJ 876 c,GJ 876,Gaia DR2 2603090003484152064,0,1,4,Radial Velocity,2000,Multiple Observatories,Published Confirmed,0,<a refstr=RIVERA_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005ApJ...634..625R/abstract target=ref> Rivera et al. 2005 </a>,30.455,0.13065,,,0.79,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3271.0,0.35,0.34,,,4.87,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h53m17.75s,343.3239737,-14d15m59.74s,-14.2665958,1171.100949,957.961,-673.638,4.67517,10.16,5.01,8.8753,27/08/2014,2005-11,27/08/2014
777,GJ 876 c,GJ 876,Gaia DR2 2603090003484152064,1,1,4,Radial Velocity,2000,Multiple Observatories,Published Confirmed,0,<a refstr=RIVERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...719..890R/abstract target=ref> Rivera et al. 2010 </a>,30.0881,0.12959,,,0.7142,0,<a refstr=RIVERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...719..890R/abstract target=ref> Rivera et al. 2010 </a>,,,0.3,0.32,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h53m17.75s,343.3239737,-14d15m59.74s,-14.2665958,1171.100949,957.961,-673.638,4.67517,10.16,5.01,8.8753,27/08/2014,2010-08,27/08/2014
778,GJ 876 c,GJ 876,Gaia DR2 2603090003484152064,0,1,4,Radial Velocity,2000,Multiple Observatories,Published Confirmed,0,<a refstr=NELSON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.455.2484N/abstract target=ref>Nelson et al. 2016</a>,30.0784,0.135989,,,0.83755,0,<a refstr=NELSON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.455.2484N/abstract target=ref>Nelson et al. 2016</a>,,,,0.37,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h53m17.75s,343.3239737,-14d15m59.74s,-14.2665958,1171.100949,957.961,-673.638,4.67517,10.16,5.01,8.8753,27/01/2016,2016-01,28/01/2016
779,GJ 876 c,GJ 876,Gaia DR2 2603090003484152064,0,1,4,Radial Velocity,2000,Multiple Observatories,Published Confirmed,0,<a refstr=CORREIA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...511A..21C/abstract target=ref> Correia et al. 2010 </a>,30.259,0.132,,,0.86,0,<a refstr=CORREIA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...511A..21C/abstract target=ref> Correia et al. 2010 </a>,M4 V,,,0.33,0.05,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h53m17.75s,343.3239737,-14d15m59.74s,-14.2665958,1171.100949,957.961,-673.638,4.67517,10.16,5.01,8.8753,27/08/2014,2010-02,27/08/2014
780,GJ 876 d,GJ 876,Gaia DR2 2603090003484152064,1,1,4,Radial Velocity,2005,W. M. Keck Observatory,Published Confirmed,0,<a refstr=RIVERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...719..890R/abstract target=ref> Rivera et al. 2010 </a>,1.93778,0.020807,,,0.021,0,<a refstr=RIVERA_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...719..890R/abstract target=ref> Rivera et al. 2010 </a>,,,0.3,0.32,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h53m17.75s,343.3239737,-14d15m59.74s,-14.2665958,1171.100949,957.961,-673.638,4.67517,10.16,5.01,8.8753,27/08/2014,2010-08,27/08/2014
